,Time_of_Incident,Time_of_report,Incident,Location,month_year
1143,2021-03-29 19:10:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4900 Lakeland Rd,2021-03
1144,2021-03-06 08:52:00+00:00,2022-02-07,Death,Acredale Community Park (4300 Metzerott Road),2021-03
1145,2021-04-03 01:45:00+00:00,2021-05-13,Alcohol Violation,Prince Frederick Hall,2021-04
1146,2021-04-25 00:15:00+00:00,2021-05-13,Alcohol Violation,Cambridge Hall,2021-04
1147,2021-04-03 01:30:00+00:00,2021-05-13,Noise Violation,Prince Frederick Hall,2021-04
1148,2021-04-16 20:45:00+00:00,2021-05-13,Vandalism,Centreville Hall,2021-04
1149,2021-04-21 22:45:00+00:00,2021-05-13,Vandalism,Centreville Hall,2021-04
1150,2021-04-16 16:00:00+00:00,2021-05-13,Other Incident,Worcester Hall,2021-04
1151,2021-04-03 01:40:00+00:00,2021-05-13,Noise Violation,4300 Knox Road,2021-04
1152,2021-04-10 20:36:00+00:00,2021-05-13,Noise Violation,7400 Hopkins Avenue,2021-04
1153,2021-04-21 01:30:00+00:00,2021-05-13,Noise Violation,Ellicott Hall,2021-04
1154,2021-04-25 02:00:00+00:00,2021-05-13,Noise Violation,South Campus Commons,2021-04
1155,2021-04-27 16:45:00+00:00,2021-05-13,Vandalism,LaPlata Hall,2021-04
1156,2021-04-30 03:00:00+00:00,2021-05-19,Rape,9000 Baltimore Avenue,2021-04
1157,2021-04-30 13:30:00+00:00,2021-06-07,Vandalism,Hagerstown Hall,2021-04
1158,2021-04-04 08:54:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),4300 Rowalt Dr,2021-04
1159,2021-04-04 18:41:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),4300 Hartwick Rd,2021-04
1160,2021-04-07 06:03:00+00:00,2022-02-02,Theft (Shoplifting),7300 Baltimore Ave,2021-04
1161,2021-04-12 07:25:00+00:00,2022-02-02,Burglary/Breaking and Entering; Destruction/Damage/Vandalism Property,8400 Baltimore Ave,2021-04
1162,2021-04-13 10:51:00+00:00,2022-02-02,Sex Offense (Rape),4300 Knox Rd,2021-04
1163,2021-04-16 02:16:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Trespassing,6700 Rhode Island Ave,2021-04
1164,2021-04-17 18:03:00+00:00,2022-02-02,Drug/Narcotic Violation,8600 Baltimore Ave,2021-04
1165,2021-04-18 12:39:00+00:00,2022-02-02,Theft (Parts/Accessories From Motor Vehicle),4600 Norwich Rd,2021-04
1166,2021-04-20 16:20:00+00:00,2022-02-02,Trash Dumping,7200 Baltimore Ave Nb,2021-04
1167,2021-04-25 20:36:00+00:00,2022-02-02,Robbery,4800 Berwyn House Rd,2021-04
1168,2021-04-29 03:22:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Trespassing,7300 Baltimore Ave Nb,2021-04
1169,2021-05-07 01:50:00+00:00,2021-06-07,Noise Violation,4300 Knox Road,2021-05
1170,2021-05-15 06:35:00+00:00,2021-06-07,Noise Violation,7300 Yale Avenue,2021-05
1171,2021-05-01 09:00:00+00:00,2021-06-07,Vandalism,Hagerstown Hall,2021-05
1172,2021-05-01 16:00:00+00:00,2021-06-07,Vandalism,Ellicott Hall,2021-05
1173,2021-05-05 19:00:00+00:00,2021-06-07,Vandalism,LaPlata Hall,2021-05
1174,2021-05-09 00:15:00+00:00,2021-06-07,Noise Violation,St. Mary's Hall,2021-05
1175,2021-05-10 17:30:00+00:00,2021-06-07,Noise Violation,Centreville Hall Hall,2021-05
1176,2021-05-17 02:15:00+00:00,2021-06-07,Noise Violation,Hagerstown Hall,2021-05
1177,2021-05-20 10:15:00+00:00,2021-06-07,Theft,Allegany Hall,2021-05
1178,2021-05-19 23:45:00+00:00,2021-06-07,Other Incident,South Campus Commons,2021-05
1179,2021-05-02 02:53:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4600 Calvert Rd,2021-05
1180,2021-05-05 04:37:00+00:00,2022-02-02,Theft (Shoplifting),7300 Baltimore Ave Sb,2021-05
1181,2021-05-12 09:02:00+00:00,2022-02-02,Trespassing,8300 Baltimore Ave Sb,2021-05
1182,2021-05-12 13:57:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Other),7500 Princeton Ave,2021-05
1183,2021-05-17 01:22:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,8400 Baltimore Ave Sb,2021-05
1184,2021-05-20 11:32:00+00:00,2022-02-02,Fraud (False Pretenses/Swindle/Confidence Game); Fraud (Identity Theft),8200 Baltimore Ave Sb,2021-05
1185,2021-05-25 07:34:00+00:00,2022-02-02,Burglary/Breaking and Entering,4600 Calvert Rd,2021-05
1186,2021-05-25 12:38:00+00:00,2022-02-02,Robbery,8600 Baltimore Ave Sb,2021-05
1187,2021-05-28 03:17:00+00:00,2022-02-02,Theft (From Motor Vehicle),4700 Berwyn House Rd,2021-05
1188,2021-05-31 02:39:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Disorderly Conduct; Trespassing,4300 Hartwick Rd,2021-05
1189,2021-05-31 20:32:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,7300 Dartmouth Ave,2021-05
1190,2021-06-19 00:15:00+00:00,2021-07-13,Noise Violation,South Campus Commons,2021-06
1191,2021-06-01 17:21:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (From Building),7300 Baltimore Ave Sb,2021-06
1192,2021-06-01 21:55:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,7200 Bowdoin Ave,2021-06
1193,2021-06-06 11:06:00+00:00,2022-02-02,Theft,4200 Knox Rd,2021-06
1194,2021-06-07 12:45:00+00:00,2022-02-02,Motor Vehicle Theft,4800 Berwyn House Rd,2021-06
1195,2021-06-12 03:23:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),4700 Berwyn House Rd,2021-06
1196,2021-06-12 08:37:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (From Motor Vehicle); Theft (Parts/Accessories From Motor Vehicle),8400 Baltimore Ave Sb,2021-06
1197,2021-06-14 22:49:00+00:00,2022-02-02,Trespassing,4700 Melbourne Pl,2021-06
1198,2021-06-18 02:04:00+00:00,2022-02-02,Disorderly Conduct; Driving Under Influence,7400 Baltimore Ave Nb,2021-06
1199,2021-06-19 08:43:00+00:00,2022-02-02,Drug/Narcotic Violation,8100 Baltimore Ave Nb,2021-06
1200,2021-06-22 11:13:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4400 Lehigh Rd,2021-06
1201,2021-06-27 00:29:00+00:00,2022-02-02,Theft (Shoplifting),7300 Baltimore Ave Sb,2021-06
1202,2021-07-31 03:00:00+00:00,2021-08-30,Rape,McKeldin Mall,2021-07
1203,2021-07-06 21:11:00+00:00,2022-02-02,Disorderly Conduct,4700 Berwyn House Rd,2021-07
1204,2021-07-08 09:03:00+00:00,2022-02-02,Burglary/Breaking and Entering,7300 Baltimore Ave Sb,2021-07
1205,2021-07-10 04:25:00+00:00,2022-02-02,Burglary/Breaking and Entering; Destruction/Damage/Vandalism Property,4500 College Ave,2021-07
1206,2021-07-10 18:44:00+00:00,2022-02-02,Theft,4500 Amherst Rd,2021-07
1207,2021-07-11 12:07:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4800 Erskine Rd,2021-07
1208,2021-07-17 01:24:00+00:00,2022-02-02,Weapon Law Violations,8300 Baltimore Ave Nb,2021-07
1209,2021-07-19 12:07:00+00:00,2022-02-02,Trash Dumping,7500 Princeton Ave,2021-07
1210,2021-07-23 13:42:00+00:00,2022-02-02,Theft (Package/Parcel),8200 Baltimore Ave Sb,2021-07
1211,2021-07-26 17:22:00+00:00,2022-02-02,Theft (From Building),4700 Berwyn House Rd,2021-07
1212,2021-07-27 22:57:00+00:00,2022-02-02,Theft (From Motor Vehicle),7700 Baltimore Ave Nb,2021-07
1213,2021-07-31 09:02:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,8300 Baltimore Ave Sb,2021-07
1214,2021-07-04 18:20:00+00:00,2022-02-07,Police Information/ Investigation,Acredale Community Park (4300 Metzerott Road),2021-07
1215,2021-08-28 13:40:00+00:00,2021-09-14,Alcohol Violation,Ellicott Hall,2021-08
1216,2021-08-28 21:30:00+00:00,2021-09-14,Alcohol Violation,Elkton Hall,2021-08
1217,2021-08-27 22:15:00+00:00,2021-09-14,Alcohol Violation,Denton Hall,2021-08
1218,2021-08-28 15:30:00+00:00,2021-09-14,Online/Telephone Misuse,Cumberland Hall,2021-08
1219,2021-08-29 21:20:00+00:00,2021-09-14,Vandalism,Pyon-Chen Hall,2021-08
1220,2021-08-31 00:00:00+00:00,2021-09-14,Noise Violation,South Campus Commons,2021-08
1221,2021-08-24 20:50:00+00:00,2021-09-14,Vandalism,Pyon-Chen Hall,2021-08
1222,2021-08-31 22:00:00+00:00,2021-10-12,Alcohol Violation,Cumberland Hall,2021-08
1223,2021-08-31 00:30:00+00:00,2021-10-12,Noise Violation,South Campus Commons,2021-08
1224,2021-08-04 08:50:00+00:00,2022-02-02,Theft (Parts/Accessories From Motor Vehicle),4700 Berwyn House Rd,2021-08
1225,2021-08-08 12:23:00+00:00,2022-02-02,Peeping Tom,4700 College Ave,2021-08
1226,2021-08-11 20:15:00+00:00,2022-02-02,Theft (Bicycles),4300 Knox Rd,2021-08
1227,2021-08-15 21:53:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,7300 Baltimore Ave Sb,2021-08
1228,2021-08-20 00:05:00+00:00,2022-02-02,Peeping Tom,7400 Dartmouth Ave,2021-08
1229,2021-08-22 16:31:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4600 Calvert Rd,2021-08
1230,2021-08-23 21:43:00+00:00,2022-02-02,Theft (Bicycles),7000 Fordham Ct,2021-08
1231,2021-08-25 18:06:00+00:00,2022-02-02,Theft,4800 Berwyn House Rd,2021-08
1232,2021-08-28 08:20:00+00:00,2022-02-02,Burglary/Breaking and Entering,8400 Baltimore Ave Nb,2021-08
1233,2021-08-29 10:32:00+00:00,2022-02-02,Burglary/Breaking and Entering,4600 Beechwood Rd,2021-08
1234,2021-08-30 10:08:00+00:00,2022-02-02,Motor Vehicle Theft,4300 Hartwick Rd,2021-08
1235,2021-09-23 15:00:00+00:00,2021-09-23,Motor Vehicle Theft,Atlantic Building,2021-09
1236,2021-09-10 01:00:00+00:00,2021-09-27,Hate Bias Incident,Elkton Hall,2021-09
1237,2021-09-04 21:50:00+00:00,2021-10-12,Alcohol Violation,Pyon-Chen Hall,2021-09
1238,2021-09-03 21:25:00+00:00,2021-10-12,Alcohol Violation,Cumberland Hall,2021-09
1239,2021-09-11 00:00:00+00:00,2021-10-12,Alcohol Violation,Leonardtown Apartments,2021-09
1240,2021-09-11 21:15:00+00:00,2021-10-12,Alcohol Violation,Elkton Hall,2021-09
1241,2021-09-25 00:15:00+00:00,2021-10-12,Noise Violation,Prince George's Hall,2021-09
1242,2021-09-05 22:00:00+00:00,2021-10-12,Harassment,Centreville Hall,2021-09
1243,2021-09-25 01:00:00+00:00,2021-10-12,Alcohol Violation,Centreville Hall,2021-09
1244,2021-09-18 11:00:00+00:00,2021-10-12,Vandalism,LaPlata Hall,2021-09
1245,2021-09-19 02:45:00+00:00,2021-10-12,Vandalism,LaPlata Hall,2021-09
1246,2021-09-03 12:00:00+00:00,2021-10-12,Vandalism,South Campus Commons,2021-09
1247,2021-09-12 16:00:00+00:00,2021-10-12,Trespassing,Centreville Hall,2021-09
1248,2021-09-23 09:00:00+00:00,2021-10-12,Vandalism,Cumberland Hall,2021-09
1249,2021-09-05 01:48:00+00:00,2021-10-12,Noise Violation,4300 Knox Road,2021-09
1250,2021-09-25 21:45:00+00:00,2021-10-12,Noise Violation,7500 Dickinson Avenue,2021-09
1251,2021-09-04 22:01:00+00:00,2021-10-12,Noise Violation,Hagerstown Hall,2021-09
1252,2021-09-11 00:15:00+00:00,2021-10-12,Suspicious Activity,Talbot Hall,2021-09
1253,2021-09-10 00:30:00+00:00,2021-10-12,Noise Violation,Hagerstown Hall,2021-09
1254,2021-09-09 23:30:00+00:00,2021-10-12,Noise Violation,Chestertown Hall,2021-09
1255,2021-09-24 01:55:00+00:00,2021-10-12,Noise Violation,Easton Hall,2021-09
1256,2021-09-11 00:30:00+00:00,2021-10-12,Noise Violation,7400 Hopkins Avenue,2021-09
1257,2021-09-25 12:24:00+00:00,2021-10-12,Noise Violation,7500 Dartmouth Avenue,2021-09
1258,2021-09-25 11:30:00+00:00,2021-10-12,Noise Violation,6800 Baltimore Avenue,2021-09
1259,2021-09-08 21:15:00+00:00,2021-10-12,Theft,LaPlata Hall,2021-09
1260,2021-09-05 15:15:00+00:00,2021-10-12,Vandalism,Hagerstown Hall,2021-09
1261,2021-09-11 22:18:00+00:00,2021-10-12,Vandalism,Kent Hall,2021-09
1262,2021-09-12 21:00:00+00:00,2021-10-12,Vandalism,Pyon-Chen Hall,2021-09
1263,2021-09-21 19:15:00+00:00,2021-10-12,Vandalism,Elkton Hall,2021-09
1264,2021-09-29 20:30:00+00:00,2021-11-08,Theft,Centreville Hall,2021-09
1265,2021-09-25 22:45:00+00:00,2021-11-08,Alcohol Violation,Oakland Hall,2021-09
1266,2021-09-30 00:00:00+00:00,2021-11-08,Noise Violation,Leonardtown Apartments,2021-09
1267,2021-09-29 20:30:00+00:00,2021-11-08,Theft,Centreville Hall,2021-09
1268,2021-09-28 23:30:00+00:00,2021-11-08,Theft,Cumberland Hall,2021-09
1269,2021-09-30 22:00:00+00:00,2021-11-08,Vandalism,South Campus Commons,2021-09
1270,2021-09-04 18:39:00+00:00,2022-02-02,Theft (Bicycles),4700 Berwyn House Rd,2021-09
1271,2021-09-07 15:24:00+00:00,2022-02-02,Theft (Bicycles),8200 Baltimore Ave Sb,2021-09
1272,2021-09-11 01:47:00+00:00,2022-02-02,Motor Vehicle Theft,3700 Campus Dr,2021-09
1273,2021-09-19 03:39:00+00:00,2022-02-02,Robbery,8500 Baltimore Ave Nb,2021-09
1274,2021-09-20 20:08:00+00:00,2022-02-02,Robbery,8300 Baltimore Ave Nb,2021-09
1275,2021-09-21 12:30:00+00:00,2022-02-02,Trespassing,8100 Baltimore Ave Sb,2021-09
1276,2021-09-22 15:36:00+00:00,2022-02-02,Theft (Parts/Accessories From Motor Vehicle),7300 Baltimore Ave Nb,2021-09
1277,2021-09-28 17:59:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4200 Guilford Dr,2021-09
1278,2021-09-30 11:04:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),4800 Guilford Rd,2021-09
1279,2021-10-08 12:30:00+00:00,2021-10-08,Hate Bias Incident,Pyon-Chen Hall,2021-10
1280,2021-10-28 10:20:00+00:00,2021-10-28,Fraud,Elkton Hall,2021-10
1281,2021-10-02 10:18:00+00:00,2021-11-08,Alcohol Violation,Ellicott Hall,2021-10
1282,2021-10-22 22:05:00+00:00,2021-11-08,Alcohol Violation,Caroline Hall,2021-10
1283,2021-10-24 00:00:00+00:00,2021-11-08,Alcohol Violation,Hagerstown Hall,2021-10
1284,2021-10-09 03:00:00+00:00,2021-11-08,Alcohol Violation,Cumberland Hall,2021-10
1285,2021-10-15 19:15:00+00:00,2021-11-08,Vandalism,LaPlata Hall,2021-10
1286,2021-10-16 20:00:00+00:00,2021-11-08,Vandalism,Ellicott Hall,2021-10
1287,2021-10-18 09:00:00+00:00,2021-11-08,Vandalism,Ellicott Hall,2021-10
1288,2021-10-02 00:15:00+00:00,2021-11-08,Vandalism,Hagerstown Hall,2021-10
1289,2021-10-08 21:45:00+00:00,2021-11-08,Vandalism,Cumberland Hall,2021-10
1290,2021-10-23 20:04:00+00:00,2021-11-08,Vandalism,LaPlata Hall,2021-10
1291,2021-10-23 00:00:00+00:00,2021-11-08,Vandalism,LaPlata Hall,2021-10
1292,2021-10-13 20:18:00+00:00,2021-11-08,Vandalism,Pyon-Chen Hall,2021-10
1293,2021-10-09 20:25:00+00:00,2021-11-08,Vandalism,Pyon-Chen Hall,2021-10
1294,2021-10-06 00:45:00+00:00,2021-11-08,Noise Violation,Easton Hall,2021-10
1295,2021-10-09 10:00:00+00:00,2021-11-08,Vandalism,Denton Hall,2021-10
1296,2021-10-09 04:30:00+00:00,2021-11-08,Noise Violation,Cumberland Hall,2021-10
1297,2021-10-11 00:30:00+00:00,2021-11-08,Noise Violation,Elkton Hall,2021-10
1298,2021-10-15 00:03:00+00:00,2021-11-08,Noise Violation,Hagerstown Hall,2021-10
1299,2021-10-16 02:00:00+00:00,2021-11-08,Noise Violation,Pyon-Chen Hall,2021-10
1300,2021-10-23 20:50:00+00:00,2021-11-08,Noise Violation,Centreville Hall,2021-10
1301,2021-10-08 09:15:00+00:00,2021-11-08,Vandalism,Ellicott Hall,2021-10
1302,2021-10-02 22:00:00+00:00,2021-11-08,Theft,Cumberland Hall,2021-10
1303,2021-10-03 04:00:00+00:00,2021-11-08,Vandalism,Easton Hall,2021-10
1304,2021-10-18 08:00:00+00:00,2021-11-08,Vandalism,Pyon-Chen Hall,2021-10
1305,2021-10-08 11:00:00+00:00,2021-11-08,Vandalism,Fraternity Row,2021-10
1306,2021-10-07 19:30:00+00:00,2021-11-08,Vandalism,LaPlata Hall,2021-10
1307,2021-10-09 04:15:00+00:00,2021-11-08,Vandalism,Wicomico Hall,2021-10
1308,2021-10-10 03:15:00+00:00,2021-11-08,Vandalism,Cumberland Hall,2021-10
1309,2021-10-24 00:14:00+00:00,2021-11-08,Vandalism,South Campus Commons,2021-10
1310,2021-10-03 22:00:00+00:00,2021-11-23,Rape,7600 Library Lane,2021-10
1311,2021-10-29 23:00:00+00:00,2021-12-08,Vandalism,Centreville Hall,2021-10
1312,2021-10-23 14:15:00+00:00,2021-12-08,Vandalism,Ellicott Hall,2021-10
1313,2021-10-24 23:45:00+00:00,2021-12-08,Vandalism,Ellicott Hall,2021-10
1314,2021-10-31 13:48:00+00:00,2021-12-08,Vandalism,Hagerstown Hall,2021-10
1315,2021-10-23 17:30:00+00:00,2021-12-08,False Alarm,8100 Baltimore Avenue,2021-10
1316,2021-10-29 01:30:00+00:00,2021-12-08,Noise Violation,4800 Harvard Road,2021-10
1317,2021-10-23 13:09:00+00:00,2021-12-08,Noise Violation,4300 Knox Road,2021-10
1318,2021-10-30 23:00:00+00:00,2021-12-08,Vandalism,South Campus Commons,2021-10
1319,2021-10-31 04:45:00+00:00,2021-12-08,Noise Violation,South Campus Commons,2021-10
1320,2021-10-01 12:25:00+00:00,2022-02-02,Hate/Bias Incident,4700 Drexel Rd,2021-10
1321,2021-10-03 22:41:00+00:00,2022-02-02,Theft (Pocket-picking),8300 Baltimore Ave Nb,2021-10
1322,2021-10-04 14:42:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (From Motor Vehicle),8400 Baltimore Ave Sb,2021-10
1323,2021-10-05 09:43:00+00:00,2022-02-02,Embezzlement,7400 Baltimore Ave Nb,2021-10
1324,2021-10-06 16:49:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (From Motor Vehicle),7100 Baltimore Ave Nb,2021-10
1325,2021-10-10 00:39:00+00:00,2022-02-02,Assault (Simple); Disorderly Conduct,4400 Knox Rd,2021-10
1326,2021-10-12 09:24:00+00:00,2022-02-02,Sex Offense (Fondling),7500 Baltimore Ave Nb,2021-10
1327,2021-10-13 08:25:00+00:00,2022-02-02,Motor Vehicle Theft,8200 Baltimore Ave Sb,2021-10
1328,2021-10-14 09:15:00+00:00,2022-02-02,Motor Vehicle Theft,7500 Baltimore Ave Nb,2021-10
1329,2021-10-15 21:45:00+00:00,2022-02-02,Assault (Simple),8100 Baltimore Ave Sb,2021-10
1330,2021-10-19 10:30:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4800 Guilford Rd,2021-10
1331,2021-10-21 12:46:00+00:00,2022-02-02,Theft,4500 Knox Rd,2021-10
1332,2021-10-22 17:02:00+00:00,2022-02-02,Burglary/Breaking and Entering,4300 Hartwick Rd,2021-10
1333,2021-10-23 23:05:00+00:00,2022-02-02,Assault (Simple); Disorderly Conduct,8100 Baltimore Ave Sb,2021-10
1334,2021-10-25 10:50:00+00:00,2022-02-02,Fraud (Identity Theft),4700 Berwyn House Rd,2021-10
1335,2021-10-26 11:58:00+00:00,2022-02-02,Counterfeiting/Forgery; Theft,7300 Baltimore Ave Sb,2021-10
1336,2021-10-27 17:48:00+00:00,2022-02-02,Fraud (Impersonation),5100 College Ave,2021-10
1337,2021-10-18 23:35:00+00:00,2022-02-07,Vandalism,Acredale Community Park (4300 Metzerott Road),2021-10
1338,2021-10-09 01:00:00+00:00,2022-04-13,Theft,South Campus Commons,2021-10
1339,2021-10-09 00:45:00+00:00,2022-06-13,Noise Violation,Centreville Hall,2021-10
1340,2021-11-05 02:15:00+00:00,2021-12-08,Noise Violation,Caroline Hall,2021-11
1341,2021-11-19 10:00:00+00:00,2021-12-08,Vandalism,Cumberland Hall,2021-11
1342,2021-11-04 23:30:00+00:00,2021-12-08,Harassment,Cumberland Hall,2021-11
1343,2021-11-18 01:15:00+00:00,2021-12-08,Noise Violation,Denton Hall,2021-11
1344,2021-11-19 00:00:00+00:00,2021-12-08,Harassment,Denton Hall,2021-11
1345,2021-11-01 22:00:00+00:00,2021-12-08,Vandalism,Easton Hall,2021-11
1346,2021-11-01 02:00:00+00:00,2021-12-08,Noise Violation,Elkton Hall,2021-11
1347,2021-11-04 20:30:00+00:00,2021-12-08,Vandalism,Ellicott Hall,2021-11
1348,2021-11-20 00:15:00+00:00,2021-12-08,Vandalism,Ellicott Hall,2021-11
1349,2021-11-04 01:15:00+00:00,2021-12-08,Noise Violation,Ellicott Hall,2021-11
1350,2021-11-09 22:15:00+00:00,2021-12-08,Vandalism,Hagerstown Hall,2021-11
1351,2021-11-14 13:10:00+00:00,2021-12-08,Vandalism,Hagerstown Hall,2021-11
1352,2021-11-20 10:45:00+00:00,2021-12-08,Vandalism,LaPlata Hall,2021-11
1353,2021-11-01 00:15:00+00:00,2021-12-08,Noise Violation,7400 Princeton Avenue,2021-11
1354,2021-11-03 19:30:00+00:00,2021-12-08,Alcohol Violation,Prince Frederick Hall,2021-11
1355,2021-11-02 00:30:00+00:00,2021-12-08,Noise Violation,Prince Frederick Hall,2021-11
1356,2021-11-22 00:15:00+00:00,2021-12-08,Noise Violation,Pyon-Chen Hall,2021-11
1357,2021-11-08 08:15:00+00:00,2021-12-08,Vandalism,Pyon-Chen Hall,2021-11
1358,2021-11-21 00:00:00+00:00,2021-12-08,Vandalism,Pyon-Chen Hall,2021-11
1359,2021-11-12 22:15:00+00:00,2021-12-08,Noise Violation,South Campus Commons,2021-11
1360,2021-11-29 01:47:00+00:00,2022-01-10,Noise Violation,Centreville Hall,2021-11
1361,2021-11-24 09:10:00+00:00,2022-01-10,Alcohol Violation,Ellicott Hall,2021-11
1362,2021-11-01 19:52:00+00:00,2022-02-02,Theft (Bicycles),7300 Yale Ave,2021-11
1363,2021-11-06 07:18:00+00:00,2022-02-02,Sex Offense (Fondling); Trespassing,4700 Drexel Rd,2021-11
1364,2021-11-07 00:08:00+00:00,2022-02-02,Assault (Aggravated),7300 Baltimore Ave Nb,2021-11
1365,2021-11-08 14:27:00+00:00,2022-02-02,Motor Vehicle Theft,4600 Norwich Rd,2021-11
1366,2021-11-09 04:01:00+00:00,2022-02-02,Theft (Shoplifting),7300 Baltimore Ave Sb,2021-11
1367,2021-11-15 10:07:00+00:00,2022-02-02,Theft (From Building),3500 University Blvd Eb,2021-11
1368,2021-11-17 09:11:00+00:00,2022-02-02,Trespassing,4600 Norwich Rd,2021-11
1369,2021-11-18 10:12:00+00:00,2022-02-02,Burglary/Breaking and Entering; Destruction/Damage/Vandalism Property,4400 Lehigh Rd,2021-11
1370,2021-11-19 19:19:00+00:00,2022-02-02,Theft (From Motor Vehicle),7000 Dartmouth Ave,2021-11
1371,2021-11-29 13:09:00+00:00,2022-02-02,Burglary/Breaking and Entering,8400 Patuxent Ave,2021-11
1372,2021-11-29 00:30:00+00:00,2022-02-15,Suspicious Activity,Pyon-Chen Hall,2021-11
1373,2021-12-05 00:00:00+00:00,2022-01-10,Alcohol Violation,Caroline Hall,2021-12
1374,2021-12-11 03:30:00+00:00,2022-01-10,Vandalism,Centreville Hall,2021-12
1375,2021-12-05 12:45:00+00:00,2022-01-10,Hate Bias Incident,Centreville Hall,2021-12
1376,2021-12-17 02:15:00+00:00,2022-01-10,Noise Violation,Cumberland Hall,2021-12
1377,2021-12-11 20:00:00+00:00,2022-01-10,Alcohol Violation,Easton Hall,2021-12
1378,2021-12-15 22:15:00+00:00,2022-01-10,Noise Violation,Easton Hall,2021-12
1379,2021-12-11 22:45:00+00:00,2022-01-10,Noise Violation,Easton Hall,2021-12
1380,2021-12-03 18:30:00+00:00,2022-01-10,Vandalism,Ellicott Hall,2021-12
1381,2021-12-03 22:00:00+00:00,2022-01-10,Noise Violation,Ellicott Hall,2021-12
1382,2021-12-12 10:00:00+00:00,2022-01-10,Vandalism,LaPlata Hall,2021-12
1383,2021-12-14 21:49:00+00:00,2022-01-10,Noise Violation,Prince Frederick Hall,2021-12
1384,2021-12-20 21:58:00+00:00,2022-01-10,Suspicious Activity,Prince Frederick Hall,2021-12
1385,2021-12-02 14:45:00+00:00,2022-02-02,Motor Vehicle Theft,4600 College Ave,2021-12
1386,2021-12-03 21:46:00+00:00,2022-02-02,Robbery,4800 Berwyn House Rd,2021-12
1387,2021-12-05 09:41:00+00:00,2022-02-02,Fraud (Credit Card/Automated Teller Machine); Theft (Other),3800 Stadium Dr,2021-12
1388,2021-12-05 12:56:00+00:00,2022-02-02,Theft (Pocket-picking),4200 Lehigh Rd,2021-12
1389,2021-12-05 19:53:00+00:00,2022-02-02,Theft (Pocket-picking),7400 Baltimore Ave Sb,2021-12
1390,2021-12-09 16:17:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,7200 Baltimore Ave Nb,2021-12
1391,2021-12-11 22:54:00+00:00,2022-02-02,Trespassing,4700 Guilford Rd,2021-12
1392,2021-12-14 11:41:00+00:00,2022-02-02,Theft (From Building),8400 Baltimore Ave Sb,2021-12
1393,2021-12-16 08:18:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),8100 Baltimore Ave Sb,2021-12
1394,2021-12-16 09:55:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Parts/Accessories From Motor Vehicle),4200 Guilford Dr,2021-12
1395,2021-12-16 11:58:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,4800 Berwyn House Rd,2021-12
1396,2021-12-16 15:21:00+00:00,2022-02-02,Burglary/Breaking and Entering,4200 Knox Rd,2021-12
1397,2021-12-18 03:31:00+00:00,2022-02-02,Theft (Pocket-picking),7300 Baltimore Ave Nb,2021-12
1398,2021-12-19 10:00:00+00:00,2022-02-02,Burglary/Breaking and Entering,7300 Columbia Ave,2021-12
1399,2021-12-19 13:21:00+00:00,2022-02-02,Burglary/Breaking and Entering,4200 Knox Rd,2021-12
1400,2021-12-19 19:41:00+00:00,2022-02-02,Burglary/Breaking and Entering,4500 Guilford Rd,2021-12
1401,2021-12-21 14:26:00+00:00,2022-02-02,Assault (Simple),8100 Baltimore Ave Sb,2021-12
1402,2021-12-28 03:24:00+00:00,2022-02-02,Motor Vehicle Theft,8400 Baltimore Ave Nb,2021-12
1403,2021-12-27 00:45:00+00:00,2022-02-15,Noise Violation,Prince Frederick Hall,2021-12
